,,Grouped by esbl_status,Grouped by esbl_status,Grouped by esbl_status,Grouped by esbl_status,Grouped by esbl_status
,,Missing,Overall,ESBL,non-ESBL,P-Value
"prior_positive_esbl, n (%)",1,,243 (9.4),165 (18.5),78 (4.6),
"temp, median [Q1,Q3]",,443,"36.7 [36.5,37.0]","36.8 [36.5,37.1]","36.7 [36.5,37.0]",0.041
"crp, median [Q1,Q3]",,748,"107.6 [43.4,196.0]","117.7 [47.1,200.1]","102.3 [41.6,192.6]",0.026
"any_healthcare_exposure_90d, n (%)",0,0,1384 (53.5),463 (51.8),921 (54.3),0.250
"any_healthcare_exposure_90d, n (%)",1,,1205 (46.5),430 (48.2),775 (45.7),
"past_abx, n (%)",0,0,2251 (86.9),756 (84.7),1495 (88.1),0.015
"past_abx, n (%)",1,,338 (13.1),137 (15.3),201 (11.9),
"length_of_stay_days, median [Q1,Q3]",,0,"8.0 [2.0,22.0]","11.0 [4.0,28.0]","7.0 [1.0,18.0]",<0.001
"in_hosp_mortality, n (%)",0,0,2522 (97.4),851 (95.3),1671 (98.5),<0.001
"in_hosp_mortality, n (%)",1,,67 (2.6),42 (4.7),25 (1.5),
