fpr,tpr,auc
0.0,0.0,0.7177871148459384
0.0,0.007575757575757576,0.7177871148459384
0.0,0.11363636363636363,0.7177871148459384
0.004201680672268907,0.11363636363636363,0.7177871148459384
0.004201680672268907,0.12878787878787878,0.7177871148459384
0.012605042016806723,0.12878787878787878,0.7177871148459384
0.012605042016806723,0.13636363636363635,0.7177871148459384
0.01680672268907563,0.13636363636363635,0.7177871148459384
0.01680672268907563,0.15151515151515152,0.7177871148459384
0.02100840336134454,0.15151515151515152,0.7177871148459384
0.02100840336134454,0.1893939393939394,0.7177871148459384
0.025210084033613446,0.1893939393939394,0.7177871148459384
0.025210084033613446,0.20454545454545456,0.7177871148459384
0.037815126050420166,0.20454545454545456,0.7177871148459384
0.037815126050420166,0.21212121212121213,0.7177871148459384
0.04201680672268908,0.21212121212121213,0.7177871148459384
0.04201680672268908,0.25757575757575757,0.7177871148459384
0.046218487394957986,0.25757575757575757,0.7177871148459384
0.046218487394957986,0.26515151515151514,0.7177871148459384
0.0546218487394958,0.26515151515151514,0.7177871148459384
0.0546218487394958,0.29545454545454547,0.7177871148459384
0.058823529411764705,0.29545454545454547,0.7177871148459384
0.058823529411764705,0.30303030303030304,0.7177871148459384
0.08403361344537816,0.30303030303030304,0.7177871148459384
0.08403361344537816,0.3106060606060606,0.7177871148459384
0.09243697478991597,0.3106060606060606,0.7177871148459384
0.09243697478991597,0.32575757575757575,0.7177871148459384
0.10084033613445378,0.32575757575757575,0.7177871148459384
0.10084033613445378,0.3409090909090909,0.7177871148459384
0.1092436974789916,0.3409090909090909,0.7177871148459384
0.1092436974789916,0.36363636363636365,0.7177871148459384
0.12605042016806722,0.36363636363636365,0.7177871148459384
0.12605042016806722,0.3712121212121212,0.7177871148459384
0.14705882352941177,0.3712121212121212,0.7177871148459384
0.14705882352941177,0.3787878787878788,0.7177871148459384
0.15126050420168066,0.3787878787878788,0.7177871148459384
0.15126050420168066,0.4015151515151515,0.7177871148459384
0.15966386554621848,0.4015151515151515,0.7177871148459384
0.15966386554621848,0.4090909090909091,0.7177871148459384
0.1638655462184874,0.4090909090909091,0.7177871148459384
0.1638655462184874,0.4166666666666667,0.7177871148459384
0.1722689075630252,0.4166666666666667,0.7177871148459384
0.1722689075630252,0.42424242424242425,0.7177871148459384
0.18067226890756302,0.42424242424242425,0.7177871148459384
0.18067226890756302,0.4393939393939394,0.7177871148459384
0.19747899159663865,0.4393939393939394,0.7177871148459384
0.19747899159663865,0.44696969696969696,0.7177871148459384
0.20588235294117646,0.44696969696969696,0.7177871148459384
0.20588235294117646,0.45454545454545453,0.7177871148459384
0.21428571428571427,0.45454545454545453,0.7177871148459384
0.21428571428571427,0.4621212121212121,0.7177871148459384
0.2184873949579832,0.4621212121212121,0.7177871148459384
0.2184873949579832,0.4772727272727273,0.7177871148459384
0.22268907563025211,0.4772727272727273,0.7177871148459384
0.22268907563025211,0.49242424242424243,0.7177871148459384
0.23109243697478993,0.49242424242424243,0.7177871148459384
0.23109243697478993,0.5303030303030303,0.7177871148459384
0.23949579831932774,0.5303030303030303,0.7177871148459384
0.23949579831932774,0.5378787878787878,0.7177871148459384
0.2647058823529412,0.5378787878787878,0.7177871148459384
0.2647058823529412,0.5606060606060606,0.7177871148459384
0.29411764705882354,0.5606060606060606,0.7177871148459384
0.29411764705882354,0.5681818181818182,0.7177871148459384
0.29831932773109243,0.5681818181818182,0.7177871148459384
0.29831932773109243,0.5757575757575758,0.7177871148459384
0.3067226890756303,0.5757575757575758,0.7177871148459384
0.3067226890756303,0.6212121212121212,0.7177871148459384
0.31092436974789917,0.6212121212121212,0.7177871148459384
0.31092436974789917,0.6287878787878788,0.7177871148459384
0.3445378151260504,0.6287878787878788,0.7177871148459384
0.3445378151260504,0.6363636363636364,0.7177871148459384
0.3487394957983193,0.6363636363636364,0.7177871148459384
0.3487394957983193,0.6515151515151515,0.7177871148459384
0.35294117647058826,0.6515151515151515,0.7177871148459384
0.35294117647058826,0.6590909090909091,0.7177871148459384
0.35714285714285715,0.6590909090909091,0.7177871148459384
0.35714285714285715,0.6666666666666666,0.7177871148459384
0.3739495798319328,0.6666666666666666,0.7177871148459384
0.3739495798319328,0.6742424242424242,0.7177871148459384
0.40756302521008403,0.6742424242424242,0.7177871148459384
0.40756302521008403,0.6893939393939394,0.7177871148459384
0.42016806722689076,0.6893939393939394,0.7177871148459384
0.42016806722689076,0.696969696969697,0.7177871148459384
0.4327731092436975,0.696969696969697,0.7177871148459384
0.4327731092436975,0.7045454545454546,0.7177871148459384
